year,metric,corr_with_score
2015,gdp,0.7809655268660222
2015,social_support,0.7406051972367849
2015,life_expectancy,0.7241995951050696
2015,freedom,0.5682109041925183
2015,generosity,0.180318526697175
2015,corruption,0.39519858383691153
2016,gdp,0.7903220167261058
2016,social_support,0.7392515774070013
2016,life_expectancy,0.7653843344336673
2016,freedom,0.5668266730968934
2016,generosity,0.15684779640360766
2016,corruption,0.40203224514729236
2017,gdp,0.8124687538866423
2017,social_support,0.7527366726961483
2017,life_expectancy,0.7819506247990083
2017,freedom,0.5701371935975074
2017,generosity,0.1552558391127448
2017,corruption,0.4290797372221719
2018,gdp,0.8021239467301907
2018,social_support,0.7457601649725755
2018,life_expectancy,0.7758136033302454
2018,freedom,0.5442799358332933
2018,generosity,0.13582474708113798
2018,corruption,0.40529152271510027
2019,gdp,0.7938828678781276
2019,social_support,0.7770577880638648
2019,life_expectancy,0.7798831492425834
2019,freedom,0.5667418257199904
2019,generosity,0.07582369490389744
2019,corruption,0.3856130708664786
