region,avg_score,countries,avg_gdp,avg_social_support,avg_life_expectancy
Australia and New Zealand,7.2675,2,1.3375,1.5525,1.0310000000000001
North America,7.085,2,1.399,1.4809999999999999,0.9564999999999999
Western Europe,6.8984,20,1.36205,1.4839,1.0138500000000001
Latin America and Caribbean,5.94255,20,0.9089499999999999,1.33285,0.8168
Eastern Asia,5.688833333333332,6,1.2351666666666665,1.3335,0.9533333333333335
Central and Eastern Europe,5.571785714285714,28,1.0224285714285715,1.3403928571428572,0.8084999999999999
Southeastern Asia,5.273666666666667,9,0.9300000000000002,1.2464444444444445,0.7453333333333334
Middle East and Northern Africa,5.237,19,1.0590526315789475,1.1486842105263158,0.7510526315789473
Southern Asia,4.526857142857143,7,0.6502857142857142,0.9868571428571428,0.617
Sub-Saharan Africa,4.2945128205128205,39,0.4472307692307692,0.9161025641025642,0.40702564102564104
