year,region,score
2015,Australia and New Zealand,7.285
2015,North America,7.273
2015,Western Europe,6.689619047619048
2015,Latin America and Caribbean,6.144681818181818
2015,Eastern Asia,5.626166666666666
2015,Middle East and Northern Africa,5.406899999999999
2015,Central and Eastern Europe,5.332931034482758
2015,Southeastern Asia,5.317444444444444
2015,Southern Asia,4.580857142857143
2015,Sub-Saharan Africa,4.2028
2016,Australia and New Zealand,7.323499999999999
2016,North America,7.254
2016,Western Europe,6.685666666666667
2016,Latin America and Caribbean,6.10175
2016,Eastern Asia,5.6241666666666665
2016,Middle East and Northern Africa,5.386052631578947
2016,Central and Eastern Europe,5.370689655172414
2016,Southeastern Asia,5.338888888888889
2016,Southern Asia,4.563285714285714
2016,Sub-Saharan Africa,4.1364210526315786
2017,Australia and New Zealand,7.299000024795535
2017,North America,7.1545000076293945
2017,Western Europe,6.703714302607945
2017,Latin America and Caribbean,5.957818193869158
2017,Eastern Asia,5.4964998960495
2017,Southeastern Asia,5.444875001907348
2017,Central and Eastern Europe,5.409931034877382
2017,Middle East and Northern Africa,5.369684194263658
2017,Southern Asia,4.628428561346872
2017,Sub-Saharan Africa,4.111948722448104
2018,Australia and New Zealand,7.298
2018,North America,7.107
2018,Western Europe,6.8290999999999995
2018,Latin America and Caribbean,5.9386190476190475
2018,Eastern Asia,5.672
2018,Central and Eastern Europe,5.463965517241379
2018,Southeastern Asia,5.313444444444444
2018,Middle East and Northern Africa,5.282736842105263
2018,Southern Asia,4.6038571428571435
2018,Sub-Saharan Africa,4.195025641025641
2019,Australia and New Zealand,7.2675
2019,North America,7.085
2019,Western Europe,6.8984
2019,Latin America and Caribbean,5.94255
2019,Eastern Asia,5.688833333333332
2019,Central and Eastern Europe,5.571785714285714
2019,Southeastern Asia,5.273666666666667
2019,Middle East and Northern Africa,5.237
2019,Southern Asia,4.526857142857143
2019,Sub-Saharan Africa,4.2945128205128205
